Date,Close,Open,High,Low,Vol-Million,Change %
"Jan 12, 2018",1078.45,1085.8,1085.9,1070.55,9.01,0.00
"Jan 11, 2018",1075.8,1055.25,1083.4,1055.25,8.39,0.02
"Jan 10, 2018",1052.25,1046.8,1056,1033.05,4.73,0.01
"Jan 09, 2018",1041.35,1040,1044.9,1028.9,4.97,0.01
"Jan 08, 2018",1036.05,1024.9,1039,1020.05,2.8,0.02
"Jan 05, 2018",1012,1015.3,1026.4,1006,5.51,0.00
"Jan 04, 2018",1015.4,1021,1021,1009.6,4.47,-0.01
"Jan 03, 2018",1021.3,1028.5,1031.6,1018.6,3.42,-0.01
"Jan 02, 2018",1029.7,1037.25,1042,1023,3.06,0.00
"Jan 01, 2018",1033.55,1037.7,1044.5,1030,2.72,-0.01
"Dec 29, 2017",1042.05,1030.1,1048.8,1030,3.3,0.01
"Dec 28, 2017",1033.25,1030,1040,1023.8,4.22,0.00
"Dec 27, 2017",1034.25,1028,1039.1,1027.4,3.49,0.00
"Dec 26, 2017",1035.6,1030,1041.5,1023,5.4,0.00
"Dec 22, 2017",1039.35,1016,1044.8,1016,6.45,0.02
"Dec 21, 2017",1022.05,1014.8,1028.95,998.4,5.53,0.01
"Dec 20, 2017",1015.85,1005.1,1018.6,1001,2.09,0.01
"Dec 19, 2017",1003.95,1017.45,1017.95,999.55,3.56,-0.01
"Dec 18, 2017",1016.6,1011.9,1030.7,1005.8,2.02,-0.01
"Dec 15, 2017",1022.9,1013,1026.4,1011.85,5.19,0.01
"Dec 14, 2017",1013.1,1005.25,1015,999.3,3.01,0.01
"Dec 13, 2017",1003.75,1010.9,1019,997.65,2.68,-0.01
"Dec 12, 2017",1010.5,1002,1014,1002,4.66,0.01
"Dec 11, 2017",1005.3,994.95,1006.9,993.95,2.57,0.00
"Dec 08, 2017",1001.85,1001,1007,995,2.99,0.00
"Dec 07, 2017",999.8,989,1002.9,985.6,3.77,0.01
"Dec 06, 2017",990.3,985,994.1,984,3.75,0.01
"Dec 05, 2017",984.35,985.35,1003,979,4.99,0.00
"Dec 04, 2017",985.35,980,996.8,968.55,8.91,0.03
"Dec 01, 2017",958.8,979.4,983.2,957.05,2.04,-0.02
"Nov 30, 2017",976.1,989.45,989.45,968.35,8.63,-0.01
"Nov 29, 2017",982.7,987.65,991.95,980.3,1.92,0.00
"Nov 28, 2017",984.7,994.4,999.9,981.3,2.31,-0.01
"Nov 27, 2017",998.75,1006.7,1006.7,993.3,3.01,-0.01
"Nov 24, 2017",1009.55,990.9,1019.3,990.2,9.31,0.02
"Nov 23, 2017",991.25,971.5,994.45,969,5.95,0.03
"Nov 22, 2017",966.3,966.6,971.05,963.3,3.04,0.00
"Nov 21, 2017",966.25,961.3,971.5,960.05,2.68,0.01
"Nov 20, 2017",960.55,969,971,957.25,2.83,-0.01
"Nov 17, 2017",970.95,985.5,985.5,965.15,4.03,-0.02
"Nov 16, 2017",988.4,951.8,995.9,948.5,7.84,0.04
"Nov 15, 2017",951.8,945.15,953.5,944.5,3.51,0.00
"Nov 14, 2017",949.1,951.95,954.85,943.25,2.87,0.00
"Nov 13, 2017",951.95,962.05,969.4,949.35,2.51,-0.01
"Nov 10, 2017",962.05,958.8,964.35,950,3.29,0.01
"Nov 09, 2017",954.5,953,963,948.25,2.36,0.00
"Nov 08, 2017",952.3,960.25,961.85,947.5,2.68,0.00
"Nov 07, 2017",955.5,926.25,960,925.85,6.72,0.03
"Nov 06, 2017",928.7,923.15,935,922.65,2.53,0.00
"Nov 03, 2017",926.65,917,929.9,916.95,1.85,0.00
"Nov 02, 2017",922.9,923.05,926,920,2.34,0.00
"Nov 01, 2017",927.05,925,929.4,923.3,2.82,0.01
"Oct 31, 2017",921.85,925,930,920,4.98,-0.02
"Oct 30, 2017",944.1,954.65,954.65,941.05,6.48,0.00
"Oct 27, 2017",946.35,955,957.7,944,4.26,0.00
"Oct 26, 2017",947.35,942,951.8,940.1,16.83,0.01
"Oct 25, 2017",935.3,919,944.7,915.25,6.99,0.01
"Oct 24, 2017",926.5,946,946.65,921.6,7.26,-0.01
"Oct 23, 2017",939.5,930,942,928.1,4.58,0.01
"Oct 19, 2017",926.95,930,932,925.2,0.55,0.00
"Oct 18, 2017",924.35,928.9,930,922.95,3.62,-0.01
"Oct 17, 2017",930.5,936.8,936.8,929.5,2.81,-0.01
"Oct 16, 2017",939,935.95,942,933,2.88,0.01
"Oct 13, 2017",930.1,932.8,933.5,927.55,3.59,0.00
"Oct 12, 2017",927.3,930,934.35,919.55,5.14,0.00
"Oct 11, 2017",930.7,935.45,938,928,2.99,-0.01
"Oct 10, 2017",935.45,939.95,939.95,929.55,3.57,0.01
"Oct 09, 2017",923.9,920,929,914,1.75,0.00
"Oct 06, 2017",920.15,904,922,903.95,4.29,0.02
"Oct 05, 2017",903.05,900,904.95,899,4.31,0.00
"Oct 04, 2017",899.6,903,905.4,897.15,2.5,0.00
